ADDR_GU,CONTENT_ID,CONTENT_NM,CRADLE_COUNT,LATITUDE,LONGITUDE,NEW_ADDR,RENT_ID
노원구,1688,마들역 7번출구,9.0,37.665661,127.057297,서울특별시 노원구 동일로 지하 1530-1마들역 7번출구,ST-1639
노원구,1689,마들역 3번출구,10.0,37.665249,127.057892,서울특별시 노원구 동일로 지하 1530-1마들역 3번출구,ST-1640
노원구,1690,도봉운전면허시험장,10.0,37.65773,127.059311,서울특별시 노원구 동일로 1449도봉운전면허시험장,ST-1641
노원구,1691,노원정보도서관,10.0,37.660709,127.065331,서울특별시 노원구 노원로34길 43노원정보도서관,ST-1642
도봉구,1702,녹천역 1번출구 앞,10.0,37.646172,127.05056,서울특별시 도봉구 덕릉로 376창동 57-11,ST-613
도봉구,1703,도봉산광역환승센터앞,15.0,37.68972,127.045197,서울특별시 도봉구 도봉로 955도봉동 637-1,ST-657
도봉구,1705,도봉구청 정문앞,8.0,37.669224,127.046516,서울특별시 도봉구 마들로 656방학동 720,ST-614
도봉구,1706,기업은행 앞,10.0,37.665665,127.042671,서울특별시 도봉구 도봉로 683방학동 726-92,ST-916
도봉구,1707,도봉구민회관,15.0,37.654461,127.038513,서울특별시 도봉구 도봉로 552창동 723-11,ST-615
도봉구,1708,보건소사거리(다비치안경창동점),8.0,37.65683,127.039848,서울특별시 도봉구 해등로 150창동 723-10,ST-658
도봉구,1709,쌍문역4번출구 주변,15.0,37.650127,127.035347,서울특별시 도봉구 도봉로 지하 486-1쌍문동 83-5,ST-616
도봉구,1712,창동역공영주차장앞,15.0,37.654049,127.050201,서울특별시 도봉구 마들로11길 74도봉구 창동 1-9,ST-617
도봉구,1713,쌍문동 청소년 랜드,10.0,37.647266,127.025879,서울특별시  도봉구 노해로140쌍문동 청소년 랜드,ST-1129
도봉구,1714,도봉문화정보도서관 삼거리,10.0,37.64463,127.044609,서울특별시 도봉구 덕릉로 315도봉문화정보도서관 삼거리,ST-1130
도봉구,1715,서울특별시교육청도봉도서관,20.0,37.653179,127.012787,서울특별시 도봉구 삼양로556서울특별시교육청도봉도서관,ST-1131
도봉구,1716,하나로마트 창동점,10.0,37.654202,127.050728,서울특별시 도봉구 마들로11길 20하나로마트 창동점,ST-1132
도봉구,1717,시립창동운동장 입구,15.0,37.655708,127.050102,서울특별시 도봉구 창동 1-24시립창동운동장 입구,ST-1133
도봉구,1719,신도봉사거리 버스정류장,10.0,37.673283,127.043991,서울특별시  도봉구 도봉로 771신도봉사거리 버스정류장,ST-1135
도봉구,1720,도봉구청 옆(중랑천변),27.0,37.668671,127.047981,서울특별시 도봉구 마들로 656도봉구청 옆(중랑천변),ST-1136
도봉구,1721,창동역 2번출구,12.0,37.653015,127.046997,서울특별시 창동 74-2 창동역 2번출구 ,ST-1137
도봉구,1722,창동청소년수련관,15.0,37.657799,127.050049,서울특별시 도봉구 노해로69길 132창동청소년수련관,ST-1292
도봉구,1723,방학동학마을도서관,10.0,37.662079,127.027718,서울특별시 도봉구 시루봉로 128방학동학마을도서관,ST-1293
도봉구,1725,창1동주민센터,10.0,37.647503,127.043312,서울특별시 도봉구 해등로 46창1동주민센터,ST-1295
도봉구,1726,삼익세라믹아파트교차로,8.0,37.658588,127.03521,서울특별시 도봉구 해등로 189삼익세라믹아파트,ST-1296
도봉구,1727,서울도봉초등학교인근,15.0,37.678677,127.040764,서울특별시 도봉구 도봉로173길 96서울도봉초등학교인근,ST-1297
도봉구,1728,서울북부지방법원,15.0,37.677666,127.046242,서울특별시 도봉구 마들로 749서울북부지방법원,ST-1434
도봉구,1729,파리바게트앞,10.0,37.68401,127.045792,서울특별시 도봉구 도봉로 891파리바게트앞,ST-1461
도봉구,1730,도봉산역 교차로 앞,10.0,37.687592,127.045502,서울특별시 도봉구 도봉산길 10도봉산역 교차로 앞,ST-1462
도봉구,1732,우리은행 앞,10.0,37.667599,127.042999,서울특별시 도봉구 도봉로 707우리은행 앞,ST-1464
도봉구,1733,방학사거리 (봄마당 앞),12.0,37.662979,127.041939,서울특별시 도봉구 방학로 102방학사거리 (봄마당 앞),ST-1465
도봉구,1734,쌍문현대1차아파트 108동 앞,10.0,37.65815,127.032669,서울특별시 도봉구 해등로 218쌍문현대1차아파트 108동 앞,ST-1466
도봉구,1735,"도봉역 1,2번 출구사이 건너편",13.0,37.679119,127.044983,"서울특별시 도봉구 도봉로170길 2도봉역 1,2번 출구사이 건너편",ST-1467
도봉구,1736,버스정류장 앞,12.0,37.652241,127.037064,서울특별시 도봉구 도봉로 528버스정류장 앞,ST-1468
